蔬菜类,,,,,,,,,
冬瓜,2.8,南瓜,2.8,洋葱,3.5,番茄,4.2,,
姜,5.3,葫芦,7.2,萝卜,7.5,胡瓜,8.2,,
酸菜类,8.6,腌菜类,8.6,苋菜,8.7,葱头,8.7,,
青椒,8.7,蒜头,8.7,黑木耳,8.8,胡萝卜,8.9,,
圆白菜,9.7,榨菜,10.2,苦瓜,11.3,丝瓜,11.4,,
荠菜,12.4,芥菜,12.4,包心菜,12.4,芹菜,12.4,,
白菜,12.6,青葱,13.0,菠菜,13.3,辣椒,14.2,,
茄子,14.3,小黄瓜,14.6,生菜,15.2,青蒿,16.3,,
韭黄,16.8,空心菜,17.5,芥兰菜,18.5,韭菜花,19.5,,
芫荽,20.2,雪里蕻,24.4,韭菜,25,鲍鱼菇,26.7,,
蘑菇,28.4,生竹笋,29.0,四季豆,29.7,油菜,30.2,,
皇帝豆,32.2,茼蒿菜,33.4,九层塔,33.9,大蒜,38.2,,
大葱,38.2,海藻,44.2,笋干,53.6,花豆,57.0,,
菜豆,58.2,金针菇,60.9,海带,96.6,绿豆芽,166.0,,
香菇,214.0,紫菜,274.0,黄豆芽,500,芦笋,500,,
豆苗菜,500,,,,,,,,
,,,,,,,,,
,,,,,,,,,
