,name,p,category
0,牛奶,1.4,主食类
1,皮蛋白,2.0,主食类
2,红薯,2.4,主食类
3,鸡蛋黄,2.6,主食类
4,荸荠,2.6,主食类
5,鸭蛋黄,3.2,主食类
6,土豆,3.6,主食类
7,鸭蛋白,3.4,主食类
8,鸡蛋白,3.7,主食类
9,树薯粉,6.0,主食类
10,皮蛋黄,6.6,主食类
11,小米,7.3,主食类
12,冬粉,7.8,主食类
13,玉米,9.4,主食类
14,高粱,9.7,主食类
15,芋头,10.1,主食类
16,米粉,11.1,主食类
17,小麦,12.1,主食类
18,淀粉,14.8,主食类
19,脱脂奶,15.7,主食类
20,通心粉,16.5,主食类
21,面粉,17.1,主食类
22,糯米,17.7,主食类
23,大米,18.1,主食类
24,面条,19.8,主食类
25,糙米,22.4,主食类
26,麦片,24.4,主食类
27,薏米,25.0,主食类
28,燕麦,25.0,主食类
29,大豆,27.0,主食类
30,豆浆,27.7,主食类
31,红豆,53.2,主食类
32,米糠,54.0,主食类
33,豆腐,55.5,主食类
34,熏豆干,63.6,主食类
35,豆腐干,66.5,主食类
36,绿豆,75.1,主食类
37,黄豆,116.5,主食类
38,黑豆,137.4,主食类
39,蜂蜜,1.2,佐料类
40,米醋,1.5,佐料类
41,糯米醋,1.5,佐料类
42,果酱,1.9,佐料类
43,番茄酱,3.0,佐料类
44,粉丝,3.8,佐料类
45,冬瓜糖,7.1,佐料类
46,味精,12.3,佐料类
47,酱油,25.0,佐料类
48,枸杞,31.7,佐料类
49,味噌,34.3,佐料类
50,莲子,40.9,佐料类
51,黑芝麻,57.0,佐料类
52,白芝麻,89.5,佐料类
53,银耳,98.9,佐料类
54,白木,98.9,佐料类
55,鸡肉汤,500.0,佐料类
56,鸡精,500.0,佐料类
57,肉汁,500.0,佐料类
58,麦芽,500.0,佐料类
59,发芽豆类,500,佐料类
60,酵母粉,559.1,佐料类
61,海参,4.2,水产类
62,海蜇皮,9.3,水产类
63,桂鱼,24.0,水产类
64,金枪鱼,60.0,水产类
65,鱼丸,63.2,水产类
66,鲑鱼,70.0,水产类
67,鲈鱼,70.0,水产类
68,鲨鱼皮,73.2,水产类
69,螃蟹,81.6,水产类
70,乌贼,89.8,水产类
71,鳝鱼,92.8,水产类
72,鳕鱼,109.0,水产类
73,旗鱼,109.8,水产类
74,鱼翅,110.6,水产类
75,鲍鱼,112.4,水产类
76,鳗鱼,113.1,水产类
77,蚬子,114.0,水产类
78,大比目鱼,125.0,水产类
79,刀鱼,134.9,水产类
80,鲫鱼,137.1,水产类
81,鲤鱼,137.1,水产类
82,虾,137.7,水产类
83,草鱼,140.3,水产类
84,黑鲳鱼,140.3,水产类
85,红鲋,140.3,水产类
86,黑鳝,140.6,水产类
87,吞拿鱼,142.0,水产类
88,鱼子酱,144.0,水产类
89,海鳗,159.5,水产类
90,草虾,162.0,水产类
91,鲨鱼,166.8,水产类
92,虱目鱼,180.0,水产类
93,乌鱼,183.2,水产类
94,鲭鱼,194.0,水产类
95,吴郭鱼,199.4,水产类
96,四破鱼,217.5,水产类
97,鱿鱼,226.2,水产类
98,鲳鱼,238.0,水产类
99,白鲳鱼,238.1,水产类
100,牡蛎,239.0,水产类
101,生蚝,239.0,水产类
102,鲺鱼泥,247.3,水产类
103,三文鱼,250.0,水产类
104,吻仔鱼,284.2,水产类
105,蛙鱼,297.0,水产类
106,蛤蜊,316.0,水产类
107,沙丁鱼,345.0,水产类
108,秋刀鱼,355.4,水产类
109,皮刀鱼,355.4,水产类
110,凤尾鱼,363.0,水产类
111,扁鱼干,366.7,水产类
112,青鱼,378.0,水产类
113,鲱鱼,378.0,水产类
114,干贝,390.0,水产类
115,白带鱼,391.6,水产类
116,带鱼,391.6,水产类
117,蚌蛤,436.3,水产类
118,熏鲱鱼,840.0,水产类
119,小鱼干,1538.9,水产类
120,白带鱼皮,3509.0,水产类
121,杏子,0.1,水果果干类
122,石榴,0.8,水果果干类
123,凤梨,0.9,水果果干类
124,菠萝,0.9,水果果干类
125,葡萄,0.9,水果果干类
126,苹果,0.9,水果果干类
127,梨,1.1,水果果干类
128,西瓜,1.1,水果果干类
129,香蕉,1.2,水果果干类
130,桃子,1.3,水果果干类
131,枇杷,1.3,水果果干类
132,杨桃,1.4,水果果干类
133,莲蓬,1.5,水果果干类
134,木瓜,1.6,水果果干类
135,芒果,2.0,水果果干类
136,橙子,3.0,水果果干类
137,桔子,3.0,水果果干类
138,柠檬,3.4,水果果干类
139,哈密瓜,4.0,水果果干类
140,李子,4.2,水果果干类
141,番石榴,4.8,水果果干类
142,葡萄干,5.4,水果果干类
143,红枣,6.0,水果果干类
144,小番茄,7.6,水果果干类
145,黑枣,8.3,水果果干类
146,核桃,8.4,水果果干类
147,龙眼干,8.6,水果果干类
148,桂圆干,8.6,水果果干类
149,大樱桃,17.0,水果果干类
150,草莓,21.0,水果果干类
151,瓜子,24.2,水果果干类
152,杏仁,31.7,水果果干类
153,栗子,34.6,水果果干类
154,腰果,80.5,水果果干类
155,花生,96.3,水果果干类
156,干葵花籽,143.0,水果果干类
157,冬瓜,2.8,蔬菜类
158,南瓜,2.8,蔬菜类
159,洋葱,3.5,蔬菜类
160,番茄,4.2,蔬菜类
161,姜,5.3,蔬菜类
162,葫芦,7.2,蔬菜类
163,萝卜,7.5,蔬菜类
164,胡瓜,8.2,蔬菜类
165,酸菜类,8.6,蔬菜类
166,腌菜类,8.6,蔬菜类
167,苋菜,8.7,蔬菜类
168,葱头,8.7,蔬菜类
169,青椒,8.7,蔬菜类
170,蒜头,8.7,蔬菜类
171,黑木耳,8.8,蔬菜类
172,胡萝卜,8.9,蔬菜类
173,圆白菜,9.7,蔬菜类
174,榨菜,10.2,蔬菜类
175,苦瓜,11.3,蔬菜类
176,丝瓜,11.4,蔬菜类
177,荠菜,12.4,蔬菜类
178,芥菜,12.4,蔬菜类
179,包心菜,12.4,蔬菜类
180,芹菜,12.4,蔬菜类
181,白菜,12.6,蔬菜类
182,青葱,13.0,蔬菜类
183,菠菜,13.3,蔬菜类
184,辣椒,14.2,蔬菜类
185,茄子,14.3,蔬菜类
186,小黄瓜,14.6,蔬菜类
187,生菜,15.2,蔬菜类
188,青蒿,16.3,蔬菜类
189,韭黄,16.8,蔬菜类
190,空心菜,17.5,蔬菜类
191,芥兰菜,18.5,蔬菜类
192,韭菜花,19.5,蔬菜类
193,芫荽,20.2,蔬菜类
194,雪里蕻,24.4,蔬菜类
195,韭菜,25.0,蔬菜类
196,鲍鱼菇,26.7,蔬菜类
197,蘑菇,28.4,蔬菜类
198,生竹笋,29.0,蔬菜类
199,四季豆,29.7,蔬菜类
200,油菜,30.2,蔬菜类
201,皇帝豆,32.2,蔬菜类
202,茼蒿菜,33.4,蔬菜类
203,九层塔,33.9,蔬菜类
204,大蒜,38.2,蔬菜类
205,大葱,38.2,蔬菜类
206,海藻,44.2,蔬菜类
207,笋干,53.6,蔬菜类
208,花豆,57.0,蔬菜类
209,菜豆,58.2,蔬菜类
210,金针菇,60.9,蔬菜类
211,海带,96.6,蔬菜类
212,绿豆芽,166.0,蔬菜类
213,香菇,214.0,蔬菜类
214,紫菜,274.0,蔬菜类
215,黄豆芽,500.0,蔬菜类
216,芦笋,500.0,蔬菜类
217,豆苗菜,500.0,蔬菜类
218,猪血,11.8,动物肉类
219,猪皮,29.8,动物肉类
220,火腿,55.0,动物肉类
221,猪心,65.3,动物肉类
222,猪脑,66.3,动物肉类
223,牛肚,79.0,动物肉类
224,鸽子,80.0,动物肉类
225,牛肉,83.7,动物肉类
226,兔肉,107.6,动物肉类
227,羊肉,111.5,动物肉类
228,鸭肠,121.0,动物肉类
229,瘦猪肉,122.5,动物肉类
230,鸡心,125.0,动物肉类
231,猪肚,132.4,动物肉类
232,猪腰子,132.6,动物肉类
233,猪肉,132.6,动物肉类
234,鸡胸肉,137.4,动物肉类
235,鸭肫,137.4,动物肉类
236,鹿肉,138.0,动物肉类
237,鸡肫,138.4,动物肉类
238,鸭肉,165.0,动物肉类
239,猪肝,169.5,动物肉类
240,牛肝,169.5,动物肉类
241,马肉,200.0,动物肉类
242,猪大肠,262.2,动物肉类
243,猪小肠,262.2,动物肉类
244,猪脾,270.6,动物肉类
245,鸡肝,293.5,动物肉类
246,鸭肝,301.5,动物肉类
247,熏羊脾,773.0,动物肉类
248,小牛颈肉,1260.0,动物肉类
